s0,s10,s90,s90d,red_flag
100,72,110,20,0
42,31,8,0,0
91,67,86,14,0
32,34,10,3,0
97,73,88,16,0
97,60,89,6,0
92,62,71,11,0
116,88,138,19,0
110,96,107,16,0
83,67,39,5,0
37,29,11,3,0
41,29,11,0,0
94,59,49,5,0
98,69,71,8,0
93,78,78,10,0
108,82,97,14,0
99,85,81,18,0
97,57,96,11,0
109,84,85,16,0
107,75,103,11,0
102,72,79,6,0
99,72,75,16,0
100,75,84,12,0
119,80,112,29,0
55,29,8,0,0
101,78,106,13,0
116,82,113,8,0
91,64,76,9,0
94,79,80,14,0
82,70,94,9,0
110,77,121,16,0
91,67,88,7,0
41,31,7,0,0
94,67,76,9,0
94,72,74,5,0
95,87,81,14,0
101,79,91,10,0
83,62,52,6,0
93,69,121,13,0
104,68,106,18,0
50,46,19,0,0
149,110,109,15,0
104,70,104,18,0
85,62,85,8,0
88,69,59,10,0
98,86,109,19,0
56,46,17,1,0
48,39,14,0,0
109,83,109,17,0
93,57,86,16,0
41,27,11,3,0
46,33,12,0,0
93,52,66,5,0
15,12,5,2,0
104,98,112,16,0
112,74,123,16,0
99,71,83,14,0
106,76,97,10,0
110,75,84,8,0
92,57,62,7,0
104,71,91,15,0
22,14,8,0,0
90,75,78,11,0
100,76,80,8,0
92,75,86,1,0
122,113,125,12,0
59,59,91,12,0
48,33,16,2,0
51,31,13,3,0
100,69,107,11,0
91,60,68,7,0
97,71,81,19,0
97,70,106,23,0
44,30,9,0,0
97,75,106,8,0
36,21,18,2,0
57,40,5,2,0
35,30,8,0,0
15,16,1,4,0
106,87,130,13,0
98,69,61,8,0
100,65,79,10,0
17,15,2,0,0
89,74,86,10,0
99,74,73,10,0
59,34,16,2,0
49,36,8,0,0
109,90,104,11,0
11,11,4,0,0
34,32,7,1,0
106,86,149,24,0
96,66,81,14,0
71,66,42,6,0
85,61,65,0,0
35,16,11,0,0
93,76,97,13,0
89,68,74,11,0
99,70,84,12,0
102,78,97,17,0
112,45,12,0,0
99,80,82,5,0
98,73,85,18,0
87,57,80,8,0
92,66,72,10,0
83,69,57,12,0
34,27,16,3,0
83,64,58,6,0
82,62,40,4,0
46,28,14,0,0
99,66,100,19,0
96,92,78,11,0
114,71,120,10,0
87,65,77,12,0
34,19,12,1,0
44,39,11,0,0
91,66,73,5,0
47,30,14,0,0
91,67,79,11,0
31,26,3,2,0
110,73,108,20,0
27,22,22,2,0
100,71,79,6,0
42,31,13,0,0
100,69,80,6,0
44,27,13,0,0
